,Day,Month,Year,DAP,Stage,WC(1.20)a,Raina,Irri,Surf,Infilt,RO,Drain,CR,Zgwta,Ex,E,E/Ex,Trxa,Tra,Tr/Trx,ETx,ET,ET/ETx,GD,Za,StExp,StSto,StSen,StSalta,StWeed,CC,CCw,StTr,Kc(Tr),Trxb,Trb,TrW,Tr/Trxb,WP,Biomass,HI,Y(dry),Y(fresh),Brelative,WPet,Bin,Bout,WC(1.20)b,Wr(0.40),Zb,Wr,Wr(SAT),Wr(FC),Wr(exp),Wr(sto),Wr(sen),Wr(PWP),SaltIn,SaltOut,SaltUp,Salt(1.20),SaltZ,Zc,ECe,ECsw,StSaltb,Zgwtb,ECgw,WC01,WC 2,WC 3,WC 4,WC 5,WC 6,WC 7,WC 8,WC 9,WC10,WC11,WC12,ECe01,ECe 2,ECe 3,ECe 4,ECe 5,ECe 6,ECe 7,ECe 8,ECe 9,ECe10,ECe11,ECe12,Rainb,ETo,Tmin,Tavg,Tmax,CO2
20,19,1,2008,21,2,356.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.1,0.1,71,0.0,0.0,100,0.1,0.1,75,4.2,0.4,0,0,0,0,0,11.6,11.6,31,0.2,0.0,0.0,0.0,100,17.7,0.218,84.8,0.185,1.852,100,5.7,0.0,0.0,356.8,116.8,0.4,116.8,200.0,120.0,86.0,68.4,46.2,40.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,-9.9,-9.0,26.8,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,8.2,10.5,384.92
21,20,1,2008,22,2,356.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.1,0.0,70,0.0,0.0,100,0.1,0.1,71,2.0,0.4,0,0,0,0,0,12.0,12.0,86,0.21,0.0,0.0,0.0,100,17.7,0.224,84.8,0.19,1.897,100,5.75,0.0,0.0,356.7,116.7,0.4,116.7,200.0,120.0,86.0,68.3,46.2,40.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,-9.9,-9.0,26.7,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,6.0,6.0,384.92
22,21,1,2008,23,2,356.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.1,0.1,70,0.0,0.0,100,0.2,0.1,73,3.5,0.4,0,0,0,0,0,12.8,12.8,50,0.22,0.0,0.0,0.0,100,17.7,0.243,84.8,0.206,2.064,100,6.05,0.0,0.0,356.6,116.6,0.4,116.6,200.0,120.0,86.2,68.5,46.3,40.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,-9.9,-9.0,26.6,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,6.0,7.5,9.0,384.92
23,22,1,2008,24,2,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.6,0.4,68,0.2,0.2,100,0.7,0.6,76,11.5,0.4,0,0,0,0,0,15.7,15.7,0,0.27,0.2,0.2,0.2,100,17.7,0.291,84.8,0.247,2.469,100,6.2,0.0,0.0,356.0,116.0,0.4,116.0,200.0,120.0,87.7,69.8,46.9,40.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,-9.9,-9.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,6.0,15.5,25.0,384.92
24,23,1,2008,25,2,355.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.4,0.3,64,0.2,0.2,100,0.6,0.4,74,9.7,0.4,0,0,0,0,0,18.6,18.6,0,0.31,0.2,0.2,0.2,100,17.7,0.347,84.8,0.294,2.942,100,6.66,0.0,0.0,355.6,115.6,0.4,115.6,200.0,120.0,87.3,69.4,46.7,40.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,-9.9,-9.0,25.6,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,13.7,21.5,384.92
25,24,1,2008,26,2,355.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.4,0.2,61,0.1,0.1,100,0.5,0.3,69,3.7,0.4,0,0,0,0,0,19.9,19.9,44,0.33,0.1,0.1,0.1,100,17.7,0.38,84.9,0.322,3.221,100,6.77,0.0,0.0,355.2,115.2,0.4,115.2,200.0,120.0,87.3,69.4,46.7,40.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,-9.9,-9.0,25.2,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,7.7,9.5,384.92
26,25,1,2008,27,2,355.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.0,0.0,60,0.0,0.0,100,0.1,0.1,74,11.5,0.4,0,0,0,0,0,24.4,24.4,0,0.4,0.0,0.0,0.0,100,17.7,0.45,84.9,0.382,3.821,100,7.93,0.0,0.0,355.2,115.2,0.4,115.2,200.0,120.0,86.0,68.3,46.1,40.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,-9.9,-9.0,25.2,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,15.5,25.0,384.92
27,26,1,2008,28,2,355.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.0,0.0,59,0.0,0.0,100,0.0,0.0,76,8.2,0.4,0,0,0,0,0,28.2,28.2,0,0.45,0.0,0.0,0.0,100,17.7,0.53,84.9,0.45,4.5,100,9.28,0.0,0.0,355.1,115.1,0.4,115.1,200.0,120.0,85.9,68.2,46.1,40.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,-9.9,-9.0,25.1,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.2,18.3,384.92
28,27,1,2008,29,2,355.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.0,0.0,59,0.0,0.0,100,0.1,0.0,75,4.9,0.4,0,0,0,0,0,30.8,30.8,18,0.49,0.0,0.0,0.0,100,17.7,0.6,84.9,0.51,5.097,100,10.41,0.0,0.0,355.1,115.1,0.4,115.1,200.0,120.0,85.9,68.3,46.1,40.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,-9.9,-9.0,25.1,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,8.9,11.8,384.92
29,28,1,2008,30,2,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.9,0.0,0.0,59,0.0,0.0,100,0.1,0.1,80,9.6,0.4,0,0,0,0,0,36.5,36.5,0,0.56,0.0,0.0,0.0,100,17.7,0.699,84.9,0.594,5.935,100,11.95,0.0,0.0,355.0,115.0,0.4,115.0,200.0,120.0,86.0,68.3,46.2,40.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,-9.9,-9.0,25.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,13.6,21.3,384.92
